"user_id","rank","track","artists","album","release_date","track_url","timeframe"
"12120382831",30,開不了口,Jay Chou,范特西,"2001-09-14",https://open.spotify.com/track/0JB2nnrP35zVYnQcYpAnCb,Short
"12120382831",31,Blessed,Daniel Caesar,Freudian,"2017-08-25",https://open.spotify.com/track/0KyzXQhY2yzcb1FYCHkZc2,Short
"12120382831",32,Let Your Heart Hold Fast,Fort Atlantic,Fort Atlantic,"2012-05-29",https://open.spotify.com/track/0poxIvI8mH3TZcGp4T7BWs,Short
"12120382831",33,Headlights (feat. Ilsey),Robin Schulz; Ilsey,Sugar,"2015-09-25",https://open.spotify.com/track/0tDC3KJPPu5eonGTtCURpq,Short
"12120382831",34,Overthinking,Acid Ghost,I Want to Hide My Face & Die,"2015-11-26",https://open.spotify.com/track/0w2kfnU1PFKxjmZFQ1J1X8,Short
"12120382831",35,Until You Were Gone,The Chainsmokers; Tritonal; Emily Warren,Until You Were Gone,"2015-09-18",https://open.spotify.com/track/12MqM3S0fTvR6X4Jt1Xvn6,Short
"12120382831",36,Don't Let Me Down (feat. Daya) - Illenium Remix,The Chainsmokers; Daya; ILLENIUM,Don't Let Me Down (Remixes) (feat. Daya),"2016-05-27",https://open.spotify.com/track/15BlympuVSfZFROojEMY2M,Short
"12120382831",37,I Miss You,blink-182,blink-182,"2003-11-01",https://open.spotify.com/track/1AdYZ6X00nXmO613Y7GJOl,Short
"12120382831",38,給我一首歌的時間,Jay Chou,魔杰座,"2008-11-09",https://open.spotify.com/track/1KlVJebZrrMSMxcEKOV5w5,Short
"12120382831",39,Sleepy Eyes,Elohim; Whethan,Elohim (Deluxe Edition),"2019-04-26",https://open.spotify.com/track/1Wvzo4EotLEh4W3OVcQoDO,Short
"12120382831",40,Japanese Denim,Daniel Caesar,Get You - Single,"2016-10-21",https://open.spotify.com/track/1boXOL0ua7N2iCOUVI1p9F,Short
"12120382831",41,Spectrum,Zedd; Matthew Koma,Clarity,"2012-01-01",https://open.spotify.com/track/1dFkD1JfRMzwO6hwUsE8aS,Short
