"user_id","rank","artist_id","timeframe","artist","genres","artist_url","artist_image","popularity"
"12120382831",17,"5IcR3N7QB1j6KBL8eImZ8m",Long,ScHoolboy Q,gangster rap; hip hop; pop rap; rap; southern hip hop; trap; underground hip hop,https://open.spotify.com/artist/5IcR3N7QB1j6KBL8eImZ8m,https://i.scdn.co/image/16e1c84dcb5ab6b682f113a048ed172ca3ca2ef6,77
"12153521253",17,"6qqNVTkY8uBg9cP3Jd7DAH",Long,Billie Eilish,electropop; pop,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,https://i.scdn.co/image/8b37b863c8772bebdeefece264ee2fcee804b98d,92
"12120382831",18,"7CajNmpbOovFoOoasH2HaY",Long,Calvin Harris,dance pop; edm; electro house; house; pop; pop dance; progressive house; uk dance,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY,https://i.scdn.co/image/af53b9a94b36d4d1af390841f23b7d7c4fcaf9b8,86
"12153521253",18,"49tQo2QULno7gxHutgccqF",Long,LANY,la pop; pop,https://open.spotify.com/artist/49tQo2QULno7gxHutgccqF,https://i.scdn.co/image/72d54a66f7226fb51c2ca9943b7b54ceb8762670,78
"12120382831",19,"23fqKkggKUBHNkbKtXEls4",Long,Kygo,edm; pop; pop dance; tropical house,https://open.spotify.com/artist/23fqKkggKUBHNkbKtXEls4,https://i.scdn.co/image/eee84c026e93f6d970fdc82c5010c45219530577,86
"12153521253",19,"3mIj9lX2MWuHmhNCA7LSCW",Long,The 1975,modern alternative rock; modern rock; nu gaze; pop; rock,https://open.spotify.com/artist/3mIj9lX2MWuHmhNCA7LSCW,https://i.scdn.co/image/94dd2feca73bdfb7e1c12751b499ec0a46024866,79
"12120382831",20,"3mIj9lX2MWuHmhNCA7LSCW",Long,The 1975,modern alternative rock; modern rock; nu gaze; pop; rock,https://open.spotify.com/artist/3mIj9lX2MWuHmhNCA7LSCW,https://i.scdn.co/image/94dd2feca73bdfb7e1c12751b499ec0a46024866,79
"12153521253",20,"1anyVhU62p31KFi8MEzkbf",Long,Chance the Rapper,chicago rap; conscious hip hop; hip hop; pop rap; rap,https://open.spotify.com/artist/1anyVhU62p31KFi8MEzkbf,https://i.scdn.co/image/7c9126d528200d1f31b001aaf08a3f2de3032bcc,85
"12153521253",21,"3KV3p5EY4AvKxOlhGHORLg",Long,Jeremih,chicago rap; dance pop; hip hop; pop; pop rap; r&b; southern hip hop; trap; urban contemporary,https://open.spotify.com/artist/3KV3p5EY4AvKxOlhGHORLg,https://i.scdn.co/image/48e38236955edc0ac5dbe291992dbf82a90e6d6d,80
"12120382831",21,"2h93pZq0e7k5yf4dywlkpM",Long,Frank Ocean,alternative r&b; hip hop; lgbtq+ hip hop; neo soul; pop,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM,https://i.scdn.co/image/7db34c8aace6feb91f38601bb75e6b3301b4657a,85
"12120382831",22,"7dGJo4pcD2V6oG8kP0tJRR",Long,Eminem,detroit hip hop; hip hop; rap,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,https://i.scdn.co/image/56f4762485066b4ef867b96e16775f2b5b4db277,94
"12153521253",22,"1uNFoZAHBGtllmzznpCI3s",Long,Justin Bieber,canadian pop; pop; post-teen pop,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,https://i.scdn.co/image/e4402b06501ef0e3e54ca88cdefc722e4ec7b05b,96
"12153521253",23,"1QAJqy2dA3ihHBFIHRphZj",Long,Cigarettes After Sex,ambient pop; dream pop; el paso indie; shoegaze,https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj,https://i.scdn.co/image/074a07d0cbf2a30290b5b55b152952e3c7011341,75
"12120382831",23,"3jK9MiCrA42lLAdMGUZpwa",Long,Anderson .Paak,escape room,https://open.spotify.com/artist/3jK9MiCrA42lLAdMGUZpwa,https://i.scdn.co/image/4f7b3e759d12f5c996f07b6b9d082ff35ced0031,78
"12120382831",24,"0Y5tJX1MQlPlqiwlOH1tJY",Long,Travis Scott,rap,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,https://i.scdn.co/image/ef784cfa3f4f87d656d3dfa5eedf0a24610faba9,93
"12153521253",24,"4AK6F7OLvEQ5QYCBNiQWHq",Long,One Direction,boy band; pop; post-teen pop; talent show,https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8,89
"12120382831",25,"0fA0VVWsXO9YnASrzqfmYu",Long,Kid Cudi,ohio hip hop; pop rap; rap,https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu,https://i.scdn.co/image/4cb57ae1ef87546455db9cf65ba414c311ff459a,90
"12153521253",25,"2wY79sveU1sp5g7SokKOiI",Long,Sam Smith,dance pop; pop; post-teen pop; uk pop,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI,https://i.scdn.co/image/ec0ac1a0f41100f8188a3f17e5b351780b4d173b,89
"12153521253",26,"1Xyo4u8uXC1ZmMpatF05PJ",Long,The Weeknd,canadian contemporary r&b; canadian pop; pop,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,https://i.scdn.co/image/d9a875c37277c35b94c60c00d2cd256db098505d,94
"12120382831",26,"7iZtZyCzp3LItcw1wtPI3D",Long,Rae Sremmurd,hip hop; melodic rap; mississippi hip hop; pop rap; rap; southern hip hop; trap,https://open.spotify.com/artist/7iZtZyCzp3LItcw1wtPI3D,https://i.scdn.co/image/e655ebbca7070f2e273a7d1400a94c371d18ea78,76
"12153521253",27,"69GGBxA162lTqCwzJG5jLp",Long,The Chainsmokers,dance pop; edm; electropop; pop; pop dance; tropical house,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp,https://i.scdn.co/image/960547a625bc2eb742bb3dd170cbc049d2e94cf9,84
"12120382831",27,"6l3HvQ5sa6mXTsMTB19rO5",Long,J. Cole,conscious hip hop; hip hop; north carolina hip hop; rap,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,https://i.scdn.co/image/c58beb81196bbdda378b6746c51a10aace2f63a6,87
"12120382831",28,"1vCWHaC5f2uS3yhpwWbIA6",Long,Avicii,big room; dance pop; edm; pop; pop dance,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,https://i.scdn.co/image/81b19a403109c4fe528ee3972137127b85be9519,84
"12153521253",28,"5nCi3BB41mBaMH9gfr6Su0",Long,fun.,baroque pop; metropopolis; modern rock; pop; pop rock,https://open.spotify.com/artist/5nCi3BB41mBaMH9gfr6Su0,https://i.scdn.co/image/37bc85c957e17d3463ae40da1c8ade6bb5ecd546,71
